,0
AceOfBase,"Ace of Base is a Swedish pop group, originally consisting of siblings Jonas Berggren, Linn Berggren and Jenny Berggren, with Ulf Ekberg starting in 1990.
They achieved worldwide success following the release of their debut album Happy Nation in 1992. Later re-issued as The Sign, it was certified nine times platinum in the United States, and was the best-selling album of 1994. One of the most succe"
Aerosmith,"American rock band Aerosmith has released 15 studio albums, 6 live albums, 16 compilation albums, and 2 extended plays. Aerosmith was formed in Boston, Massachusetts in 1970 by vocalist Steven Tyler, guitarists Joe Perry and Ray Tabano, bassist Tom Hamilton, and drummer Joey Kramer. Tabano was replaced by Brad Whitford in 1971. Other than a period from 1979–1984, this lineup has remained the same."
Aha,"""Da Da Da I Don't Love You You Don't Love Me Aha Aha Aha"" (usually shortened to ""Da Da Da"") is a song by the German band Trio (sometimes stylised as TRIO). Trio was formed in 1980 by Stephan Remmler, Gert ""Kralle"" Krawinkel, and Peter Behrens. Released as a single in 1982 and featured on their 1981 eponymous debut album, ""Da Da Da"" became a hit in Germany and about 30 other countries, selling 13 m"
AirSupply,"Air Supply is a soft rock duo, consisting of English singer-songwriter and guitarist Graham Russell and Australian lead vocalist Russell Hitchcock. They had a succession of hits worldwide, including eight top-ten hits in the United States in the early 1980s. They formed in Australia in 1975 and have included various accompanying musicians and singers. The Australian Recording Industry Association "
AlannahMyles,"Alannah Myles (née Byles; born December 25, 1958) is a Canadian singer/songwriter who has won both a Grammy and a Juno Award for her recording of the song “Black Velvet”. The song was a top-ten hit in Canada and a number one hit on the U.S. Billboard Hot 100 in 1990.


== Early life ==
Myles was born Alannah Byles on Christmas Day 1958 in Toronto, Ontario. She is the daughter of William Douglas By"
AlanODay,"Alan Earle O'Day (October 3, 1940 – May 17, 2013) was an American singer-songwriter, best known for writing and singing ""Undercover Angel,"" a million-selling Gold-certified American #1 hit in 1977. He also wrote songs for several other notable performers, such as 1974's Helen Reddy #1 hit ""Angie Baby"" and the Righteous Brothers' #3 Gold hit ""Rock and Roll Heaven"". In the 1980s he moved from pop mu"
AlbertHammond,"Albert Louis Hammond OBE (born 18 May 1944 in London) is a British-Gibraltarian singer, songwriter, and record producer. A prolific songwriter, he collaborated most notably with the songwriters Mike Hazlewood, John Bettis, Diane Warren, Holly Knight and Carole Bayer Sager. Hammond's son Albert Hammond Jr. is lead guitarist for the American rock band the Strokes.
He wrote commercially successful si"
AlGreen,"Albert Leornes Greene (born April 13, 1946), often known as The Reverend Al Green, is an American singer, songwriter and record producer; he is best known for recording a series of soul hit singles in the early 1970s, including ""Take Me to the River"", ""Tired of Being Alone"", ""I'm Still in Love with You"", ""Love and Happiness"", and his signature song, ""Let's Stay Together"". After an incident in whic"
AliceCooper,"Vincent Damon Furnier (born February 4, 1948), better known by his stage name Alice Cooper, is an American singer, songwriter, and actor whose career spans over 50 years. With a raspy voice and a stage show that features numerous props, including pyrotechnics, guillotines, electric chairs, fake blood, reptiles, baby dolls, and dueling swords, Cooper is considered by music journalists and peers to "
Alive,"Left Alive is a stealth video game developed by Ilinx and published by Square Enix for Microsoft Windows and PlayStation 4. It was announced at a press conference by Sony Interactive Entertainment prior to the 2017 Tokyo Game Show.Set in the Front Mission series, the story follows several individuals trying to survive amidst a surprise invasion of one country into another, along the way helping ci"
All4One,"All-4-One is a Grammy Award-winning American male R&B and pop group best known for their hit singles ""I Swear"" and ""I Can Love You Like That"". The group comprises Jamie Jones, Delious Kennedy, Alfred Nevarez, and Tony Borowiak, all from the Antelope Valley and Mojave, California areas. The group has sold 22 million records worldwide.


== History ==
All-4-One's hit ""I Swear"" won a Grammy Award in "
AllanSherman,"Allan Sherman (born Allan Copelon; November 30, 1924 – November 20, 1973) was an American comedy writer, television producer, singer and actor who became famous as a song parodist in the early 1960s. His first album, My Son, the Folk Singer (1962), became the fastest-selling record album up to that time. His biggest hit single was ""Hello Muddah, Hello Fadduh"", a comic novelty in which a boy descri"
AllmanBrothers,"The Allman Brothers Band was an American rock band formed in Jacksonville, Florida in 1969 by brothers Duane Allman (founder, slide guitar and lead guitar) and Gregg Allman (vocals, keyboards, songwriting), as well as Dickey Betts (lead guitar, vocals, songwriting), Berry Oakley (bass guitar), Butch Trucks (drums), and Jai Johanny ""Jaimoe"" Johanson (drums). The band incorporated elements of blues,"
AlStewart,"Bed Sitter Images is the debut studio album of folk artist Al Stewart, released in 1967, and again in a revised edition with a new cover picture in 1970. The songs were orchestrated by Alexander Faris. The cover of the first 1967 edition spells ""Bed Sitter"" without a hyphen, as do many reviews and Al Stewart's official website. The album and its title track are both named on the record label as Be"
AlWilson,"An artist is a person engaged in an activity related to creating art, practicing the arts, or demonstrating an art. The common usage in both everyday speech and academic discourse is a practitioner in the visual arts only. The term is often used in the entertainment business, especially in a business context, for musicians and other performers (less often for actors). ""Artiste"" (the French for art"
Ambrosia,"Ambrosia is an American rock band formed in Los Angeles, California in 1970. Ambrosia had five top 40 hit singles released between 1975 and 1980, including the top 5 hits ""How Much I Feel"" and ""Biggest Part of Me"", and top 20 hits ""You're the Only Woman (You & I)"" and ""Holdin' on to Yesterday"". Most of the original band members have been active with the group continuously for well over 25 years to"
America,"A list by date of birth of historically recognized American fine artists known for the creation of artworks that are primarily visual in nature, including traditional media such as painting, sculpture, photography, and printmaking, as well as more recent genres, including installation art, performance art, body art, conceptual art, video art, and digital art.
For ease of use the list has been subd"
AndrewGold,"Andrew Maurice Gold (August 2, 1951 – June 3, 2011) was an American multi-instrumentalist, singer, songwriter, and record producer who influenced much of the sound of Los Angeles-dominated pop rock in the 1970s. Gold played on scores of records by other artists, most notably Linda Ronstadt's, and had his own success with the U.S. Top 40 hits ""Lonely Boy"" (1977) and ""Thank You for Being a Friend"" ("
AndrewLloydWebber,"Andrew Lloyd Webber, Baron Lloyd-Webber (born 22 March 1948) is an English composer and impresario of musical theatre. Several of his musicals have run for more than a decade both in the West End and on Broadway. He has composed 21 musicals, a song cycle, a set of variations, two film scores, and a Latin Requiem Mass. Several of his songs have been widely recorded and were successful outside of th"
AndyKim,"Andrew Youakim, performing as Andy Kim, is a Canadian pop rock singer and songwriter. He grew up in Montreal, Quebec. He is known for hits that he released in the late 1960s and 1970s: the international hit ""Baby, I Love You"" in 1969, and ""Rock Me Gently"", which topped the US singles chart in 1974. He co-wrote ""Sugar, Sugar"" in 1968 and sang on the recording as part of the Archies; it was #1 for f"
Animals,"The Animals are an English rhythm and blues and rock band, formed in Newcastle upon Tyne in the early 1960s. The band moved to London upon finding fame in 1964. The Animals were known for their gritty, bluesy sound and deep-voiced frontman Eric Burdon, as exemplified by their signature song and transatlantic No. 1 hit single, ""House of the Rising Sun"", as well as by hits such as  ""We Gotta Get Out"
Animotion,"Animotion is an American synthpop band from Los Angeles, California, best known for the songs ""Obsession"", ""Let Him Go"", ""I Engineer"", and ""Room to Move"".Formed in 1983 from the remnants of a retro science-fiction band called Red Zone, they signed a record deal with Mercury Records in 1984 and made four albums.


== History ==


=== Formation and rise (1983–1986) ===
Astrid Plane, keyboardist Paul"
AnitaBaker,"Anita Denise Baker (born January 26, 1958) is an American singer-songwriter. She is regarded as one of the most popular singers of soulful romantic ballads during the height of the quiet storm period of contemporary R&B in the 1980s. Starting her career in the late 1970s with the funk band Chapter 8, Baker released her first solo album, The Songstress, in 1983. In 1986, she rose to stardom followi"
AnitaWard,"Anita Ward (born December 20, 1956) is an American singer and musician. She is best known for her 1979 million-selling chart-topper ""Ring My Bell"".


== Career ==
Before signing a recording contract, Ward obtained a degree in psychology from Rust College in Holly Springs, Mississippi, and had become a schoolteacher. While recording her debut album, record label owner Frederick Knight presented her"
AnneMurray,"Morna Anne Murray  (born June 20, 1945) is a Canadian singer. Her albums consisting primarily of pop, country, and adult contemporary music have sold over 55 million copies worldwide during her 40-year career.Murray was the first Canadian female solo singer to reach No. 1 on the U.S. charts, and also the first to earn a Gold record for one of her signature songs, ""Snowbird"" (1970). She is often ci"
AnnieLennox,"Ann Lennox OBE (born 25 December 1954) is a Scottish singer-songwriter, political activist and philanthropist. After achieving moderate success in the late 1970s as part of the new wave band The Tourists, she and fellow musician Dave Stewart went on to achieve international success in the 1980s as Eurythmics. Appearing in the 1983 music video for “Sweet Dreams (Are Made of This)” with orange cropp"
Archies,"""Sugar, Sugar"" is a song written by Jeff Barry and Andy Kim. It was originally recorded by the cartoon band the Archies. This version reached No. 1 in the US on the Billboard Hot 100 chart in 1969 and remained there for four weeks. It was also No.1 on the UK Singles chart in that same year for eight weeks. The song became a hit again in 1970 when rhythm and blues and soul singer Wilson Pickett too"
ArethaFranklin,"This discography documents the releases of albums and singles by Aretha Franklin, who is ranked first among female vocalists with the most Billboard chart hits during the rock era (1955–2012) with a total of 88 according to Joel Whitburn's Record Research.


== Albums ==


=== Studio albums ===


=== Live albums ===


=== Soundtrack albums ===


=== Compilation albums ===


== Singles ==


=== The"
Asia,"Asia Artist Awards (abbreviated AAA) is an awards ceremony organized by South Korea-based business newspaper Money Today and its global media brands StarNews and MTN. It honors outstanding achievements and international contributions of Asian artists in television, film and music.
The inaugural ceremony was held on November 16, 2016 at Kyung Hee University's Hall of Peace in Seoul, and was broadca"
Association,"The Young Artist Award (originally known as the Youth in Film Award) is an accolade presented by the Young Artist Foundation, a nonprofit organization founded in 1978 to honor excellence of youth performers, and to provide scholarships for young artists who may be physically disabled or financially unstable.First presented in 1979, the Young Artist Awards was the first organization established to "
AtlantaRhythmSection,"Atlanta Rhythm Section (or ARS) is an American Southern rock band, formed in 1971 by Rodney Justo (singer), Barry Bailey (guitar), Paul Goddard (bass), Dean Daughtry (keyboards), Robert Nix (drums) and James B. Cobb, Jr. (guitar). The band's current lineup consists of Daughtry and Justo, along with guitarists David Anderson and Steve Stone, bassist Justin Senker and drummer Rodger Stephan.


== Ea"
AverageWhiteBand,"The Average White Band (also AWB) are a Scottish funk and R&B band that had a series of soul and disco hits between 1974 and 1980. They are best known for their million-selling instrumental track ""Pick Up the Pieces"", and their albums AWB and Cut the Cake. The band name was initially proposed by Bonnie Bramlett. They have influenced others, such as the Brand New Heavies, and been sampled by variou"
B52s,"The B-52s (styled as The B-52's prior to 2008) are an American new wave band which was formed in Athens, Georgia, in 1976. The original line-up consisted of Fred Schneider (vocals, percussion), Kate Pierson (vocals, keyboards), Cindy Wilson (vocals, percussion), Ricky Wilson (guitar), and Keith Strickland (drums, guitar, keyboards). Ricky Wilson died from AIDS-related illness in 1985, and Strickla"
Babys,"The Babys are a British rock group best known for their songs ""Isn't It Time"" and ""Every Time I Think of You"". Both songs were composed by Jack Conrad and Ray Kennedy, and each reached No. 13 on the U.S. Billboard Hot 100 and No. 8 on the Cashbox chart in the late 1970s. The original Babys line-up consisted of founding member keyboardist/guitarist Michael Corby, and, in order of joining the group,"
BachmanTurnerOverdrive,"Bachman–Turner Overdrive, often abbreviated as BTO, was a Canadian rock group from Winnipeg, Manitoba founded by Randy Bachman and Fred Turner. Their 1970s catalogue included five Top 40 albums and six US Top 40 singles (eleven in Canada). The band has sold nearly 30 million albums worldwide, and has fans affectionately known as ""gearheads"" (derived from the band's gear-shaped logo). Many of their"
BadCompany,"Bad Company are  an English hard rock supergroup formed in England, in 1973 by singer Paul Rodgers, guitarist Mick Ralphs, drummer Simon Kirke and later adding bassist Boz Burrell. Peter Grant, who managed the rock band Led Zeppelin, also managed Bad Company until 1982.
Bad Company enjoyed great success throughout the 1970s. Their first three albums, Bad Company (1974), Straight Shooter (1975), an"
BadEnglish,"Bad English was an Anglo-American hard rock/glam metal supergroup formed in 1987. It reunited Journey keyboardist Jonathan Cain with singer John Waite and bassist Ricky Phillips, his former bandmates in The Babys, along with Journey guitarist Neal Schon and drummer Deen Castronovo.


== History ==
The members decided on a name for the band while playing pool. John Waite missed a shot and Jonathan "
Badfinger,"Badfinger were  a Welsh/English rock band formed in Swansea that were active from the 1960s to the 1980s. Their best-known lineup consisted of Pete Ham, Mike Gibbins, Tom Evans, and Joey Molland. They are recognized for their influence on the 1970s power pop genre.
The band evolved from an earlier group called The Iveys, formed in 1961, which became the first group signed by the Beatles' Apple lab"
Bananarama,"Bananarama are an English female pop music vocal duo, originally formed as a trio in London in 1979 by friends Sara Dallin, Siobhan Fahey and Keren Woodward. Their success on both pop and dance charts saw them listed in the Guinness World Records for achieving the world's highest number of chart entries by an all-female group. Between 1982 and 2009, they had 28 singles reach the Top 50 of the UK S"
BarbraStreisand,"The Barbra Streisand Album is the debut album by Barbra Streisand, released February 25, 1963, on Columbia Records, catalogue CL 2007 in mono and CS 8807 in stereo. It peaked at #9 on the Billboard pop albums chart, and has been certified a gold album by the RIAA.
The album won Grammy awards for Album of the Year and Best Female Vocal Performance. In January 2006 the album was inducted into the Gr"
BarryManilow,"Barry Manilow is an American singer–songwriter, musician, arranger, producer, and conductor. His discography consists of 31 studio albums, 6 live albums, 17 compilation albums, and 57 singles. His first album, Barry Manilow, was released in 1973. He is best known for such recordings as ""Mandy"", ""Can't Smile Without You"", and ""Copacabana (At the Copa)"". To date, he has sold more than 75 million rec"
BarryMann,"This is a list of songs written by Barry Mann and Cynthia Weil, in most cases as a songwriting duo.  The pair have also collaborated with other songwriters.  Both Mann and Weil have also written chart hit songs as individuals with other writers, and Mann has written on his own.


== Chart hits and other notable songs written by Mann and Weil ==


== Chart hits and other notable songs written by Ba"
BarryWhite,"Barry Eugene Carter (September 12, 1944 – July 4, 2003), better known by his stage name Barry White, was an American singer-songwriter, musician, record producer and composer.
A two-time Grammy Award–winner known for his distinctive bass-baritone voice and romantic image, his greatest success came in the 1970s as a solo singer and with The Love Unlimited Orchestra, crafting many enduring soul, fun"
BayCityRollers,"The Bay City Rollers are a Scottish pop rock band known for their worldwide teen idol popularity in the 1970s. They have been called the ""tartan teen sensations from Edinburgh"", and ""the first of many acts heralded as the 'biggest group since the Beatles'"".The group's line-up had many changes over the years, but the classic line-up during its heyday included guitarists Eric Faulkner and Stuart Woo"
BeachBoys,"Best of the Beach Boys is the first compilation album released by American rock band the Beach Boys through Capitol Records in 1966. The first version was released in the United States on July 5, 1966, two months after Pet Sounds. Another version of Best of The Beach Boys was issued in the United Kingdom on November 11, 1966 with a track listing that differed from the American release.


== North "
Beatles,"With the Beatles is the second studio album by the English rock band the Beatles. It was released on 22 November 1963 on Parlophone, exactly eight months after the band's debut Please Please Me. Produced by George Martin, the album features eight original compositions (seven by Lennon–McCartney and ""Don't Bother Me"", George Harrison's first recorded solo composition and his first released on a Bea"
BeauBrummels,"The Beau Brummels were an American rock band. Formed in San Francisco in 1964, the band's original lineup included Sal Valentino (lead vocals), Ron Elliott (lead guitar), Ron Meagher (bass guitar), Declan Mulligan (rhythm guitar, bass, harmonica), and John Petersen (drums). They were discovered by local disc jockeys who were looking to sign acts to their new label, Autumn Records, where Sylvester "
BeeGees,"The Bee Gees 
were a music group formed in 1958. Their lineup consisted of brothers Barry, Robin, and Maurice Gibb. The trio were especially successful as a popular music act in the late 1960s and early 1970s, and later as prominent performers of the disco music era in the mid-to-late 1970s. The group sang recognisable three-part tight harmonies; Robin's clear vibrato lead vocals were a hallmark o"
BelindaCarlisle,"Belinda Jo Carlisle (born August 17, 1958) is an American singer, musician, and author. She gained worldwide fame as the lead singer of the Go-Go's, one of the most successful all-female bands in history, and went on to have a prolific career as a solo artist.
Raised in Southern California, Carlisle became the lead singer of the Go-Go's after the band's formation in 1978. With their chart-topping "
BenEKing,"Benjamin Earl King (né Nelson, September 28, 1938 – April 30, 2015) was an American soul and R&B singer and record producer. He is best known as the singer and co-composer of ""Stand by Me""—a U.S. Top 10 hit, both in 1961 and later in 1986 (when it was used as the theme to the film of the same name), a number one hit in the United Kingdom in 1987, and no. 25 on the RIAA's list of Songs of the Centu"
Berlin,"Brigid Emmett Berlin (September 6, 1939 – July 17, 2020) was an American artist and Warhol superstar.


== Early years ==
Berlin was in Manhattan in New York City. She was the eldest of three daughters born to socialite parents, Muriel (Johnson) ""Honey"" Berlin and Richard E. Berlin. Her father was chairman of the Hearst media empire for 32 years.As a child, Berlin regularly mixed with celebrities "
BertieHiggins,"Elbert Joseph ""Bertie"" Higgins (born December 8, 1944) is an American singer-songwriter. In 1982, Higgins had a top 40 album with Just Another Day in Paradise. It spawned the hit song ""Key Largo"", which referenced the Humphrey Bogart film of the same name and reached No. 8 on the U.S. Billboard Hot 100, No. 1 on the Billboard Adult Contemporary chart and No. 50 on the Billboard Country chart. In 2"
BetteMidler,"American singer Bette Midler has released 13 studio albums, four soundtrack albums, five live albums, one spoken word album, seven greatest hits compilations, four video albums, 39 official singles, nine  promotional singles, and 11 music videos.
Midler released her debut single Do You Want to Dance in 1972, which peaked at #17 on the Billboard Hot 100. Her first album was released the same year, "
BigCountry,"Big Country is a Scottish rock band formed in Dunfermline, Fife, in 1981.
The height of the band's popularity was in the early to mid 1980s, although it has retained a cult following for many years since. The band's music incorporated Scottish folk and martial music styles, and the band engineered their guitar-driven sound to evoke the sound of bagpipes, fiddles and other traditional folk instrume"
BillHaleyAndTheComets,"Bill Haley & His Comets were an American rock and roll band, founded in 1952 and continued until Haley's death in 1981. The band was also known as Bill Haley and the Comets and Bill Haley's Comets (and variations thereof). From late 1954 to late 1956, the group placed nine singles in the Top 20, one of those a number one and three more in the Top Ten. The single ""Rock Around the Clock"" became the "
BillyIdol,"William Michael Albert Broad (born 30 November 1955), known professionally as Billy Idol, is an English musician, singer, songwriter, and actor who holds dual British and American  citizenship. He first achieved fame in the 1970s emerging from the London punk rock scene as a member of Generation X. Subsequently, he embarked on a solo career which led to international recognition and made Idol a le"
BillyJoel,"William Martin Joel (born May 9, 1949) is an American singer-songwriter, composer, and pianist. Commonly nicknamed the ""Piano Man"" after his first major hit and signature song of the same name, he has led a commercially successful career as a solo artist since the 1970s, having released 12 studio albums from 1971 to 1993 as well as one studio album in 2001. He is one of the best-selling music arti"
BillyOcean,"Leslie Sebastian Charles,  (born 21 January 1950), known professionally as Billy Ocean, is a Trinidadian-British recording artist who had a string of R&B international pop hits in the 1970s and 1980s. He was the most popular Trinidad–British R&B singer-songwriter of the early to mid-1980s. After scoring his first four UK Top 20 successes, seven years passed before he accumulated a series of transa"
BillyPaul,"Paul Williams (December 1, 1934 – April 24, 2016), known professionally as Billy Paul, was a Grammy Award-winning American soul singer, known for his 1972 No. 1 single ""Me and Mrs. Jones"", as well as the 1973 album and single War of the Gods, which blends his more conventional pop, soul, and funk styles with electronic and psychedelic influences.
He was one of the many artists associated with the "
BillyPreston,"William Everett Preston (September 2, 1946 – June 6, 2006) was an American musician whose work encompassed R&B, rock, soul, funk, and gospel. Preston was a top session keyboardist in the 1960s, during which he backed artists such as Little Richard, Sam Cooke, Ray Charles, Everly Brothers, Reverend James Cleveland, and the Beatles. He went on to achieve fame as a solo artist with hit singles such a"
BillySwan,"William Lance Swan (born May 12, 1942) is an American country singer-songwriter, best known for his 1974 single, ""I Can Help"".


== Biography ==
Swan was born in Cape Girardeau, Missouri.  As a child, he learned drums, piano and guitar, and began writing songs. His first big break was in 1962 when Clyde McPhatter recorded ""Lover Please"", a song written by Swan when he was in a local band called Mi"
BJThomas,"Billy Joe Thomas (born August 7, 1942) is an American singer widely known for his hit songs of the 1960s and 1970s, which appeared on the pop, country, and Christian music charts, and included recordings of the Mark James song ""Hooked on a Feeling"" (1968) and the Burt Bacharach and Hal David song ""Raindrops Keep Fallin' on My Head"" (1969).


== Early life ==
Thomas was raised in and around Houston"
BlackSabbath,"Black Sabbath were an English rock band formed in Birmingham in 1968 by guitarist Tony Iommi, drummer Bill Ward, bassist Geezer Butler and vocalist Ozzy Osbourne. They are often cited as pioneers of heavy metal music. The band helped define the genre with releases such as Black Sabbath (1970), Paranoid (1970), and Master of Reality (1971). The band had multiple line-up changes following Osbourne's"
Blondie,"This is the discography of American new wave band Blondie. Since 1976 they have released 11 studio albums, 4 live albums, 14 compilation albums, 3 remix albums and 38 singles. The band has sold an estimated 40 million albums.


== Albums ==


=== Studio albums ===
* The band's debut album, Blondie, did not chart in the UK following its original release, but charted in March 1979 after it was re-re"
BlueOysterCult,"Blue Öyster Cult ( OY-stər; often abbreviated BÖC or BOC) is  an American rock band formed in Stony Brook, New York, in 1967, best known for the singles ""(Don't Fear) The Reaper"", ""Burnin' for You"", ""Cities on Flame with Rock and Roll"", and ""Godzilla."" They have sold 25 million records worldwide, including seven million in the United States alone. The band's music videos, especially ""Burnin' for Y"
BluesImage,"Blues Image was an American rock band. Their most successful song was ""Ride Captain Ride"" in the last half of 1970, which reached No. 4 on both the Billboard Hot 100 and the Canadian RPM magazine charts.


== Career ==
Blues Image was formed in Tampa, Florida in 1966 by singer-guitarist Mike Pinera, singer-drummer Manuel ""Manny"" Bertematti, singer-percussionist Joe Lala, keyboardist Emilio Garcia,"
BobbyBorisPickett,"Robert George Pickett (February 11, 1938 – April 25, 2007), known also by the name Bobby ""Boris"" Pickett, was an American singer, songwriter, actor and comedian known for co-writing and performing the 1962 hit novelty song ""Monster Mash.""


== Early life ==
Pickett was born in Somerville, Massachusetts on February 11, 1938. His family lived in the Winter Hill neighborhood and he attended Somervill"
BobbyBrown,"Robert Barisford Brown (born February 5, 1969) is an American singer, songwriter, rapper, dancer and actor. Brown, alongside frequent collaborator Teddy Riley, is noted as a pioneer of new jack swing; a fusion of hip hop and R&B. Brown started his career in the R&B and pop group New Edition, from its inception in 1981 until his exit from the group in December 1985.Starting a solo career, Brown enj"
BobbyDarin,"Bobby Darin (born Walden Robert Cassotto; May 14, 1936 – December 20, 1973) was an American singer, songwriter, multi-instrumentalist, impressionist, and actor in film and television. He performed jazz, pop, rock and roll, folk, swing, and country music.
He started his career as a songwriter for Connie Francis. He recorded his first million-selling single, ""Splish Splash"", in 1958. That was follow"
BobbyFullerFour,"The Bobby Fuller Four (sometimes stylized as Bobby Fuller 4) was a popular mid-1960s American rock & roll band started by Bobby Fuller. With its first incarnation formed in 1962 in El Paso, Texas, the group went on to produce some of its most memorable hits under Mustang Records in Hollywood, California. The band's most successful songs include ""Let Her Dance"", ""I Fought the Law"", and ""Love's Made"
BobbyMcFerrin,"Robert Keith McFerrin Jr. (born March 11, 1950) is an American jazz vocalist. He is known for his vocal techniques, such as singing fluidly but with quick and considerable jumps in pitch—for example, sustaining a melody while also rapidly alternating with arpeggios and harmonies—as well as scat singing, polyphonic overtone singing, and improvisational vocal percussion. He is widely known for perfo"
BobbyVinton,"Stanley Robert Vinton Jr. (born April 16, 1935), known professionally as Bobby Vinton, is an American singer and songwriter who briefly appeared in films. In pop music circles, as a teen idol he became known as ""The Polish Prince"", as his music pays tribute to his Polish heritage. His most popular song was ""Blue Velvet"", a cover of Tony Bennett's 1951 song, which reached number one on the Billboar"
BobDylan,"Bob Dylan (born Robert Allen Zimmerman; May 24, 1941) is an American singer-songwriter, author, and visual artist who has been a major figure in popular culture for more than 50 years. Much of his most celebrated work dates from the 1960s, when songs such as ""Blowin' in the Wind"" (1963) and ""The Times They Are a-Changin'"" (1964) became anthems for the civil rights and anti-war movements. His lyric"
BobSeger,"Robert Clark Seger (, born May 6, 1945) is an American singer, songwriter and musician. As a locally successful Detroit-area artist, he performed and recorded as Bob Seger and the Last Heard and Bob Seger System throughout the 1960s, breaking through with his first album, Ramblin' Gamblin' Man (which contained his first national hit of the same name) in 1968. By the early 1970s, he had dropped the"
BobWelch,"Robert Lawrence Welch Jr. (August 31, 1945 – June 7, 2012) was an American musician who was a member of Fleetwood Mac from 1971 to 1974. He had a successful solo career in the late 1970s. His singles included ""Hot Love, Cold World"", ""Ebony Eyes"", ""Precious Love"", ""Hypnotized"", and his signature song, ""Sentimental Lady"".


== Early life ==
Welch was born in Hollywood, California, into a show busine"
BonJovi,"John Francis Bongiovi Jr. (born March 2, 1962), known professionally as Jon Bon Jovi, is an American singer-songwriter, record producer, philanthropist, and actor. Bon Jovi is best known as the founder and frontman of the Grammy Award-winning rock band Bon Jovi, which was formed in 1983.
Bon Jovi has released 14 studio albums with his band; to date, the band has sold over 130 million albums worldw"
BonnieRaitt,"Bonnie Lynn Raitt (born November 8, 1949) is an American blues singer, guitarist, songwriter, and activist.
During the 1970s, Raitt released a series of roots-influenced albums that incorporated elements of blues, rock, folk and country. In 1989, after several years of critical acclaim but little commercial success, she had a major hit with the album Nick of Time. The following two albums, Luck of"
BonnieTyler,"Bonnie Tyler (born Gaynor Hopkins; 8 June 1951) is a Welsh singer, known for her distinctive husky voice. Tyler came to prominence with the release of her 1977 album The World Starts Tonight and its singles ""Lost in France"" and ""More Than a Lover"". Her 1978 single ""It's a Heartache"" reached number four on the UK Singles Chart, and number three on the US Billboard Hot 100.
In the 1980s, Tyler ventu"
